,GID,Team,Spread,Over/Under
5137,201811070LAL,LAL,-5.0,238.5
5138,201811070MEM,DEN,-3.5,206.0
5139,201811070MEM,MEM,3.5,206.0
5140,201811070MIA,SAS,1.5,214.5
5141,201811070MIA,MIA,-1.5,214.5
5142,201811070NOP,NOP,-10.0,230.5
5143,201811070NOP,CHI,10.0,230.5
5144,201811070ORL,DET,-1.5,211.5
5145,201811070ORL,ORL,1.5,211.5
5146,201811070SAC,TOR,-8.5,225.5
5147,201811070SAC,SAC,8.5,225.5
5148,201811070UTA,DAL,10.0,216.5
5149,201811070UTA,UTA,-10.0,216.5
5150,201811080GSW,GSW,-6.0,238.5
5151,201811080GSW,MIL,6.0,238.5
5152,201811080OKC,HOU,-4.5,214.5
5153,201811080OKC,OKC,4.5,214.5
5154,201811080PHO,BOS,-9.5,211.0
5155,201811080PHO,PHO,9.5,211.0
5156,201811080POR,LAC,5.5,225.5
5157,201811080POR,POR,-5.5,225.5
5158,201811090ATL,ATL,4.5,225.5
5159,201811090ATL,DET,-4.5,225.5
5160,201811090DEN,DEN,-9.5,210.5
5161,201811090DEN,BRK,9.5,210.5
5162,201811090MIA,IND,1.5,215.0
5163,201811090MIA,MIA,-1.5,215.0
5164,201811090ORL,ORL,2.5,219.0
5165,201811090ORL,WAS,-2.5,219.0
5166,201811090PHI,CHO,5.5,225.0
5167,201811090PHI,PHI,-5.5,225.0
5168,201811090SAC,MIN,-3.5,228.5
5169,201811090SAC,SAC,3.5,228.5
5170,201811090UTA,BOS,3.0,209.0
5171,201811090UTA,UTA,-3.0,209.0
5172,201811100CHI,CHI,-5.5,213.0
5173,201811100CHI,CLE,5.5,213.0
5174,201811100DAL,OKC,-1.0,215.5
5175,201811100DAL,DAL,1.0,215.5
5176,201811100GSW,GSW,-8.5,226.5
5177,201811100GSW,BRK,8.5,226.5
5178,201811100LAC,MIL,-3.0,233.0
5179,201811100LAC,LAC,3.0,233.0
5180,201811100MEM,PHI,2.0,209.0
5181,201811100MEM,MEM,-2.0,209.0
5182,201811100MIA,WAS,2.5,225.5
5183,201811100MIA,MIA,-2.5,225.5
5184,201811100NOP,NOP,-9.0,227.5
5185,201811100NOP,PHO,9.0,227.5
5186,201811100SAC,LAL,-5.5,240.0
5187,201811100SAC,SAC,5.5,240.0
5188,201811100SAS,HOU,-1.0,209.5
5189,201811100SAS,SAS,1.0,209.5
5190,201811100TOR,NYK,13.5,218.5
5191,201811100TOR,TOR,-13.5,218.5
5192,201811110DEN,MIL,2.5,220.0
5193,201811110DEN,DEN,-2.5,220.0
5194,201811110DET,CHO,2.5,222.0
5195,201811110DET,DET,-2.5,222.0
5196,201811110HOU,IND,2.0,208.0
5197,201811110HOU,HOU,-2.0,208.0
5198,201811110LAL,LAL,-11.5,241.0
5199,201811110LAL,ATL,11.5,241.0
5200,201811110NYK,ORL,1.0,208.5
5201,201811110NYK,NYK,-1.0,208.5
5202,201811110POR,BOS,2.5,216.0
5203,201811110POR,POR,-2.5,216.0
5204,201811120CHI,CHI,-1.0,211.0
5205,201811120CHI,DAL,1.0,211.0
5206,201811120LAC,LAC,2.0,232.0
5207,201811120LAC,GSW,-2.0,232.0
5208,201811120MEM,UTA,-2.0,205.5
5209,201811120MEM,MEM,2.0,205.5
5210,201811120MIA,PHI,1.0,223.5
5211,201811120MIA,MIA,-1.0,223.5
5212,201811120MIN,MIN,-2.5,222.0
5213,201811120MIN,BRK,2.5,222.0
5214,201811120OKC,PHO,8.5,209.0
5215,201811120OKC,OKC,-8.5,209.0
5216,201811120SAC,SAS,-3.5,220.0
5217,201811120SAC,SAC,3.5,220.0
5218,201811120TOR,NOP,8.5,230.0
5219,201811120TOR,TOR,-8.5,230.0
5220,201811120WAS,WAS,-8.0,220.5
5221,201811120WAS,ORL,8.0,220.5
5222,201811130CLE,CHO,-6.5,218.5
