,GID,Team,Spread,Over/Under
886,201612230CLE,CLE,-16.0,221.0
887,201612230CLE,BRK,16.0,221.0
888,201612230DEN,DEN,-4.0,221.5
889,201612230DEN,ATL,4.0,221.5
890,201612230DET,GSW,-6.5,212.5
891,201612230DET,DET,6.5,212.5
892,201612230LAC,DAL,5.5,195.5
893,201612230LAC,LAC,-5.5,195.5
894,201612230MEM,HOU,-3.5,205.0
895,201612230MEM,MEM,3.5,205.0
896,201612230MIL,WAS,3.0,213.5
897,201612230MIL,MIL,-3.0,213.5
898,201612230MIN,SAC,3.5,208.5
899,201612230MIN,MIN,-3.5,208.5
900,201612230NOP,MIA,5.0,205.5
901,201612230NOP,NOP,-5.0,205.5
902,201612230ORL,LAL,4.5,213.0
903,201612230ORL,ORL,-4.5,213.0
904,201612230PHO,PHI,4.0,210.0
905,201612230PHO,PHO,-4.0,210.0
906,201612230POR,POR,2.0,210.5
907,201612230POR,SAS,-2.0,210.5
908,201612230UTA,TOR,-1.5,201.0
909,201612230UTA,UTA,1.5,201.0
910,201612250CLE,GSW,-1.5,223.0
911,201612250CLE,CLE,1.5,223.0
912,201612250LAL,LAL,6.0,215.0
913,201612250LAL,LAC,-6.0,215.0
914,201612250NYK,BOS,-1.5,212.0
915,201612250NYK,NYK,1.5,212.0
916,201612250OKC,OKC,-5.0,212.0
917,201612250OKC,MIN,5.0,212.0
918,201612250SAS,CHI,8.5,200.0
919,201612250SAS,SAS,-8.5,200.0
920,201612260BRK,BRK,7.0,216.0
921,201612260BRK,CHO,-7.0,216.0
922,201612260CHI,CHI,-2.0,206.0
923,201612260CHI,IND,2.0,206.0
924,201612260DET,CLE,6.0,198.0
925,201612260DET,DET,-6.0,198.0
926,201612260HOU,HOU,-13.0,228.0
927,201612260HOU,PHO,13.0,228.0
928,201612260LAC,LAC,2.0,211.0
929,201612260LAC,DEN,-2.0,211.0
930,201612260MIN,MIN,-2.0,212.0
931,201612260MIN,ATL,2.0,212.0
932,201612260NOP,NOP,-4.5,197.0
933,201612260NOP,DAL,4.5,197.0
934,201612260ORL,ORL,1.0,193.5
935,201612260ORL,MEM,-1.0,193.5
936,201612260POR,TOR,-4.5,217.5
937,201612260POR,POR,4.5,217.5
938,201612260SAC,PHI,8.0,205.5
939,201612260SAC,SAC,-8.0,205.5
940,201612260WAS,WAS,-5.0,214.0
941,201612260WAS,MIL,5.0,214.0
942,201612270BOS,MEM,6.5,198.0
943,201612270BOS,BOS,-6.5,198.0
944,201612270DAL,DAL,6.0,210.0
945,201612270DAL,HOU,-6.0,210.0
946,201612270LAL,UTA,-4.5,204.5
947,201612270LAL,LAL,4.5,204.5
948,201612270MIA,OKC,-2.5,205.0
949,201612270MIA,MIA,2.5,205.0
950,201612290CHO,MIA,6.0,200.5
951,201612290CHO,CHO,-6.0,200.5
952,201612290CLE,BOS,6.0,215.0
953,201612290CLE,CLE,-6.0,215.0
954,201612290LAL,LAL,-2.5,203.5
955,201612290LAL,DAL,2.5,203.5
956,201612290MEM,OKC,2.0,198.5
957,201612290MEM,MEM,-2.0,198.5
958,201612290PHO,TOR,-8.0,220.5
959,201612290PHO,PHO,8.0,220.5
960,201612290UTA,UTA,-12.5,196.0
961,201612290UTA,PHI,12.5,196.0
962,201612300ATL,ATL,-3.5,201.5
963,201612300ATL,DET,3.5,201.5
964,201612300BOS,BOS,-9.5,204.5
965,201612300BOS,MIA,9.5,204.5
966,201612300DEN,DEN,-11.5,210.5
967,201612300DEN,PHI,11.5,210.5
968,201612300GSW,GSW,-18.0,211.5
969,201612300GSW,DAL,18.0,211.5
970,201612300HOU,LAC,5.0,218.5
971,201612300HOU,HOU,-5.0,218.5
972,201612300IND,IND,-4.0,202.0
973,201612300IND,CHI,4.0,202.0
974,201612300MIN,MIL,-0.0,209.0
975,201612300MIN,MIN,0.0,209.0
976,201612300NOP,NYK,2.0,212.0
977,201612300NOP,NOP,-2.0,212.0
978,201612300SAS,POR,13.0,207.0
979,201612300SAS,SAS,-13.0,207.0
980,201612300WAS,BRK,8.0,221.5
981,201612300WAS,WAS,-8.0,221.5
982,201612310CHI,MIL,2.5,202.0
983,201612310CHI,CHI,-2.5,202.0
984,201612310CHO,CLE,-3.0,214.5
985,201612310CHO,CHO,3.0,214.5
986,201612310HOU,NYK,9.5,221.0
987,201612310HOU,HOU,-9.5,221.0
988,201612310OKC,OKC,-5.5,206.5
989,201612310OKC,LAC,5.5,206.5
990,201612310SAC,SAC,-1.5,194.0
991,201612310SAC,MEM,1.5,194.0
992,201612310UTA,UTA,-10.5,206.0
993,201612310UTA,PHO,10.5,206.0
994,201701010ATL,SAS,-3.5,207.0
995,201701010ATL,ATL,3.5,207.0
996,201701010IND,ORL,6.0,207.0
997,201701010IND,IND,-6.0,207.0
998,201701010LAL,LAL,8.5,217.5
999,201701010LAL,TOR,-8.5,217.5
1000,201701010MIA,DET,-3.5,196.0
1001,201701010MIA,MIA,3.5,196.0
1002,201701010MIN,MIN,-5.5,209.5
1003,201701010MIN,POR,5.5,209.5
1004,201701020BRK,UTA,-6.5,204.5
1005,201701020BRK,BRK,6.5,204.5
1006,201701020CHI,CHI,0.0,203.0
1007,201701020CHI,CHO,-0.0,203.0
1008,201701020CLE,NOP,10.0,214.5
1009,201701020CLE,CLE,-10.0,214.5
1010,201701020GSW,GSW,-14.5,227.5
1011,201701020GSW,DEN,14.5,227.5
1012,201701020HOU,HOU,-9.0,228.0
1013,201701020HOU,WAS,9.0,228.0
1014,201701020LAC,PHO,5.5,209.0
1015,201701020LAC,LAC,-5.5,209.0
